2023-05-13 17:34:21 INFO  [c.e.s.controller.BookController] API: /api/books/secure/checkout, Response state: OK, Request time: 82ms
2023-05-13 17:34:21 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 17:34:55 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure, Response state: OK, Request time: 22ms
2023-05-13 17:34:58 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 17:34:58 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 3ms
2023-05-13 17:34:58 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 3ms
2023-05-13 17:34:58 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 17:35:11 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 5ms
2023-05-13 17:35:11 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 5ms
2023-05-13 17:35:11 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 7ms
2023-05-13 17:35:11 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 17:35:17 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 32ms
2023-05-13 18:56:37 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 10ms
2023-05-13 18:56:37 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 10ms
2023-05-13 18:56:37 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 11ms
2023-05-13 18:56:41 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 18:56:41 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 5ms
2023-05-13 18:56:41 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 5ms
2023-05-13 18:56:41 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 2ms
2023-05-13 18:56:45 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 18:56:45 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 3ms
2023-05-13 18:56:45 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 3ms
2023-05-13 18:56:45 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 18:56:51 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 3ms
2023-05-13 18:56:51 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 3ms
2023-05-13 18:56:51 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 18:57:08 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 5ms
2023-05-13 18:57:30 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 5ms
2023-05-13 18:57:47 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 7ms
2023-05-13 19:08:20 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 73ms
2023-05-13 19:08:25 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 7ms
2023-05-13 19:08:25 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 17ms
2023-05-13 19:08:25 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 45ms
2023-05-13 19:08:30 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 5ms
2023-05-13 19:08:30 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 5ms
2023-05-13 19:08:30 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 33ms
2023-05-13 19:08:41 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 6ms
2023-05-13 19:08:41 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 6ms
2023-05-13 19:08:41 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 5ms
2023-05-13 19:09:06 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 21ms
2023-05-13 19:09:12 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 7ms
2023-05-13 19:09:12 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 6ms
2023-05-13 19:09:12 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 7ms
2023-05-13 19:09:12 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 19:09:15 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 13ms
2023-05-13 19:09:21 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 5ms
2023-05-13 19:09:21 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 5ms
2023-05-13 19:09:21 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 5ms
2023-05-13 19:09:22 INFO  [c.e.s.controller.BookController] API: /api/books/secure/checkout, Response state: OK, Request time: 65ms
2023-05-13 19:09:22 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 5ms
2023-05-13 19:09:28 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 5ms
2023-05-13 19:09:28 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 4ms
2023-05-13 19:09:28 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 4ms
2023-05-13 19:09:29 INFO  [c.e.s.controller.BookController] API: /api/books/secure/checkout, Response state: OK, Request time: 91ms
2023-05-13 19:09:29 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 19:09:34 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 19:09:34 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 3ms
2023-05-13 19:09:34 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 3ms
